kunnr,name1,zbrand,zbrant
100161,BFT BURZONI S.R.L.,001,YG BRAND
100161,BFT BURZONI S.R.L.,002,OEM BRAND
100161,BFT BURZONI S.R.L.,003,NEUTRAL BRAND
100161,BFT BURZONI S.R.L.,004,NO MARKING
100161,BFT BURZONI S.R.L.,512,NEUTRAL BRAND (2025NEW)
100163,Brütsch / Rüegger Tools Ltd.,001,YG BRAND
100163,Brütsch / Rüegger Tools Ltd.,002,OEM BRAND
100163,Brütsch / Rüegger Tools Ltd.,003,NEUTRAL BRAND
100163,Brütsch / Rüegger Tools Ltd.,437,FORFINE BRAND
100163,Brütsch / Rüegger Tools Ltd.,473,NERIOX BRAND
100163,Brütsch / Rüegger Tools Ltd.,501,UNBRANDED
100166,INGERSOLL TAEGUTEC ITALIA SRL,001,YG BRAND
100166,INGERSOLL TAEGUTEC ITALIA SRL,002,OEM BRAND
100166,INGERSOLL TAEGUTEC ITALIA SRL,003,NEUTRAL BRAND
100166,INGERSOLL TAEGUTEC ITALIA SRL,004,NO MARKING
100171,CROMWELL TOOLS LTD,001,YG BRAND
100171,CROMWELL TOOLS LTD,103,SHERWOOD BRAND
100171,CROMWELL TOOLS LTD,002,OEM BRAND
100171,CROMWELL TOOLS LTD,401,SWISSTECH BRAND
100171,CROMWELL TOOLS LTD,049,KENNEDY BRAND
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,001,YG BRAND
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,002,OEM BRAND
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,025,ELMER BRAND
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,003,NEUTRAL BRAND
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,475,OEM(DRESS SIZE)
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,498,TOPMAX BRAND
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,524,ALUSMART
100178,DRESS WERKZEUGE HENTSCHKE GMBH + CO,058,NO BRAND
100187,FERRETERIA UNCETA S.A.,001,YG BRAND
100187,FERRETERIA UNCETA S.A.,002,OEM BRAND
100187,FERRETERIA UNCETA S.A.,021,CORAI NEUTRAL
100187,FERRETERIA UNCETA S.A.,003,NEUTRAL BRAND
